                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.0808,                0.64149,                 1.0751,                 0.8747,                 0.8125,                0.83288,                0.46522,                 1.4491,                0.90968,                 1.2938,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.0762,                0.67628,                 1.0856,                0.81725,                  0.875,                0.80096,                0.45333,                 1.4601,                0.97565,                   1.32,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.1062,                0.68688,                  1.107,                0.85697,                0.87379,                0.80464,                0.48805,                 1.4048,                0.95611,                  1.265,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.1062,                0.64913,                 1.1156,                0.80737,                0.87323,                0.78898,                0.47236,                 1.3728,                0.92371,                 1.2209,                0.00101,                0.00101,                0.00101
                     52,                   1.06,                0.66856,                 1.0814,                0.82261,                0.86956,                0.81623,                0.45687,                 1.4484,                  0.925,                 1.2706,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0827,                0.66267,                 1.1017,                0.85792,                 0.8125,                0.77093,                0.45279,                  1.452,                0.96376,                 1.3006,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0787,                0.64735,                 1.0808,                0.82596,                0.83333,                0.82109,                0.47453,                 1.3666,                0.89661,                 1.2177,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.0913,                0.63532,                 1.0799,                0.88088,                 0.8125,                0.84875,                0.51395,                  1.419,                0.89733,                 1.2941,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.0973,                0.64759,                 1.0931,                0.83765,                0.79167,                0.77359,                0.45603,                 1.3754,                0.94298,                 1.3124,               0.000911,               0.000911,               0.000911
                     57,                 1.0346,                0.61719,                 1.0722,                0.87025,                0.83333,                0.81409,                0.47216,                 1.3919,                 0.9232,                  1.309,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.0447,                0.60819,                 1.1045,                0.81432,                0.83333,                0.80378,                0.48804,                 1.3921,                 1.0125,                 1.2848,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.0445,                0.64196,                 1.0793,                 0.8432,                0.83333,                0.77872,                0.46335,                 1.3591,                 0.9477,                 1.2608,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.0136,                0.59653,                 1.0656,                0.86865,                0.82677,                0.82723,                0.50759,                  1.436,                 0.8992,                 1.3135,              0.0008318,              0.0008318,              0.0008318
                     61,                  1.075,                0.61723,                 1.0745,                0.85947,                 0.8125,                0.80484,                0.48002,                 1.4086,                0.87329,                 1.2817,               0.000812,               0.000812,               0.000812
                     62,                  1.035,                0.61265,                 1.0739,                0.84794,                 0.8125,                0.78997,                0.47863,                 1.4351,                0.85668,                 1.3059,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0607,                0.61229,                  1.066,                0.84616,                 0.8125,                0.78854,                0.47832,                 1.4002,                0.93324,                 1.3237,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.0369,                0.59676,                  1.066,                0.77719,                0.83333,                0.78787,                 0.4805,                 1.3931,                0.91023,                 1.2621,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.0241,                0.60648,                 1.0563,                0.78691,                0.84638,                0.79927,                0.47038,                 1.4385,                0.87199,                 1.2723,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0115,                0.58691,                 1.0506,                0.80241,                 0.8125,                0.79041,                0.48295,                 1.4313,                0.86659,                 1.2659,               0.000713,               0.000713,               0.000713
                     67,                 1.0015,                0.57707,                 1.0752,                0.87343,                0.79167,                 0.8256,                0.50898,                 1.3692,                0.89603,                 1.2199,              0.0006932,              0.0006932,              0.0006932
                     68,                0.97866,                0.55379,                 1.0462,                0.79402,                0.85417,                0.81154,                0.48639,                 1.3431,                0.85466,                 1.2205,              0.0006734,              0.0006734,              0.0006734
                     69,                0.95799,                0.56806,                 1.0301,                0.79139,                 0.8125,                0.76421,                0.47318,                 1.3667,                0.89549,                 1.2621,              0.0006536,              0.0006536,              0.0006536
                     70,                0.98709,                0.57655,                 1.0414,                0.78449,                 0.8125,                0.78535,                0.50029,                 1.3499,                0.93162,                 1.2687,              0.0006338,              0.0006338,              0.0006338
                     71,                0.95671,                0.54832,                 1.0444,                0.87093,                0.79167,                0.81943,                0.52972,                 1.3307,                0.90171,                 1.2326,               0.000614,               0.000614,               0.000614
                     72,                0.97289,                0.57456,                 1.0292,                0.82297,                  0.875,                0.78276,                0.47201,                 1.4081,                0.91058,                 1.2581,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0227,                0.56557,                 1.0611,                0.83434,                0.89583,                0.79771,                0.50111,                 1.3381,                0.85059,                 1.2285,              0.0005744,              0.0005744,              0.0005744
                     74,                0.93011,                0.54948,                 1.0328,                0.82724,                0.83333,                0.78906,                0.48338,                 1.4272,                0.93577,                 1.2798,              0.0005546,              0.0005546,              0.0005546
                     75,                0.91456,                0.53656,                 1.0094,                0.84844,                0.83333,                0.79242,                0.48158,                  1.375,                0.92885,                 1.2842,              0.0005348,              0.0005348,              0.0005348
                     76,                0.97235,                0.55047,                 1.0404,                0.82229,                 0.8125,                0.79401,                0.48689,                 1.5006,                0.93691,                 1.3567,               0.000515,               0.000515,               0.000515
                     77,                0.95571,                 0.5427,                 1.0374,                0.81566,                0.85417,                0.81298,                0.50166,                 1.3602,                 0.8304,                 1.2593,              0.0004952,              0.0004952,              0.0004952
                     78,                0.94432,                0.53483,                 1.0403,                0.80158,                0.85417,                 0.8199,                0.50915,                 1.4226,                0.91919,                 1.3469,              0.0004754,              0.0004754,              0.0004754
                     79,                0.92728,                0.52712,                 1.0089,                0.82467,                0.83333,                0.80552,                0.49685,                 1.4084,                0.92819,                 1.3093,              0.0004556,              0.0004556,              0.0004556
                     80,                 0.9334,                0.52115,                 1.0216,                0.79793,                  0.875,                0.82389,                0.50529,                  1.404,                0.89332,                 1.3147,              0.0004358,              0.0004358,              0.0004358
                     81,                0.90964,                0.52375,                 1.0104,                0.86422,                 0.8125,                0.79433,                0.48629,                 1.4109,                0.94073,                 1.3096,               0.000416,               0.000416,               0.000416
                     82,                0.94603,                0.53529,                 1.0245,                0.82605,                 0.8125,                 0.8028,                0.48798,                 1.4061,                0.89843,                 1.3076,              0.0003962,              0.0003962,              0.0003962
                     83,                0.92128,                0.54485,                 1.0039,                0.78395,                0.83157,                0.78754,                0.48125,                  1.427,                0.89926,                 1.3237,              0.0003764,              0.0003764,              0.0003764
                     84,                 0.9047,                0.53257,                 1.0153,                0.83323,                 0.8327,                0.79003,                 0.4938,                 1.4139,                0.88185,                 1.3138,              0.0003566,              0.0003566,              0.0003566
                     85,                0.85791,                0.50184,                0.99176,                0.81676,                0.85417,                0.80522,                  0.499,                  1.406,                0.96205,                 1.3095,              0.0003368,              0.0003368,              0.0003368
                     86,                0.89883,                0.50604,                 1.0173,                0.83117,                0.83333,                0.81272,                0.48925,                 1.4486,                0.89051,                 1.3387,               0.000317,               0.000317,               0.000317
                     87,                0.89068,                 0.5163,                 1.0017,                0.81237,                0.81181,                0.78999,                 0.4954,                 1.4352,                0.93129,                 1.3297,              0.0002972,              0.0002972,              0.0002972
                     88,                0.86943,                0.49944,                 0.9857,                0.79535,                0.80972,                0.78367,                0.47704,                  1.435,                0.94467,                 1.3064,              0.0002774,              0.0002774,              0.0002774
                     89,                0.89087,                0.51844,                 1.0044,                0.79498,                 0.8125,                0.76892,                0.47451,                 1.3987,                0.92909,                 1.2995,              0.0002576,              0.0002576,              0.0002576
                     90,                0.88199,                0.49665,                 1.0009,                 0.7843,                0.83328,                0.75872,                0.46136,                 1.4022,                0.95396,                 1.3017,              0.0002378,              0.0002378,              0.0002378
                     91,                0.82487,                0.48532,                 0.9949,                0.76791,                0.83333,                0.76025,                0.45478,                 1.4399,                0.90852,                 1.3183,               0.000218,               0.000218,               0.000218
                     92,                0.87576,                0.45823,                 1.0018,                0.83505,                   0.75,                0.75193,                0.47079,                 1.3931,                0.88576,                 1.3156,              0.0001982,              0.0001982,              0.0001982
                     93,                0.82996,                0.44679,                0.98814,                0.81146,                 0.8125,                0.78692,                0.46295,                 1.4469,                0.87217,                 1.3437,              0.0001784,              0.0001784,              0.0001784
                     94,                0.83311,                0.45156,                0.98138,                0.78376,                0.83065,                0.78869,                0.47852,                 1.4117,                0.86625,                 1.3156,              0.0001586,              0.0001586,              0.0001586
                     95,                0.79945,                0.44067,                0.96746,                0.78322,                0.82804,                0.77713,                0.48175,                 1.3918,                0.88766,                 1.2986,              0.0001388,              0.0001388,              0.0001388
                     96,                0.82171,                0.43345,                0.98043,                0.79927,                0.82959,                0.77707,                0.47616,                 1.3989,                0.87197,                 1.3135,               0.000119,               0.000119,               0.000119
                     97,                0.78067,                0.43353,                0.96802,                0.78401,                0.83187,                0.78822,                0.48268,                 1.4042,                0.86883,                 1.3173,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.79424,                0.42472,                0.95873,                0.80896,                 0.8125,                0.78153,                 0.4751,                 1.3883,                 0.8746,                 1.3135,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.77508,                0.42515,                0.94846,                0.79215,                 0.8125,                0.78689,                0.47943,                 1.3902,                0.88697,                 1.3191,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.76819,                 0.4179,                0.95752,                0.79212,                 0.8125,                 0.7866,                0.48014,                 1.3892,                0.89011,                 1.3216,               3.98e-05,               3.98e-05,               3.98e-05
